currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
USDT,XRP,neuralnet -0.94|0.19|0.6,20.63,0.18,0.36,20.45,0.83,78.26,8.22,3.9,-8.22,-8.01,1321,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.19 method = sgd min_predictions = 1000 momentum = 0.6 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.94,primeiro
USDT,XRP,neuralnet -0.93|0.37|0.8,29.76,9.31,0.51,20.45,0.78,68.18,7.96,4.85,-10.24,-3.92,2018,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.37 method = sgd min_predictions = 1000 momentum = 0.8 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.93,primeiro
USDT,XRP,neuralnet -0.95|0.35|0.8,16.91,-3.54,0.29,20.45,0.78,63.64,7.96,4.11,-10.24,-5.97,1727,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.35 method = sgd min_predictions = 1000 momentum = 0.8 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.95,primeiro
USDT,XRP,neuralnet -0.97|0.78|0.1,7.54,-12.91,0.13,20.45,0.48,69.23,9.08,4.69,-8.22,-7.57,2997,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.78 method = sgd min_predictions = 1000 momentum = 0.1 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.97,primeiro
USDT,XRP,neuralnet -0.93|0.940000000000001|0.9,5.68,-14.77,0.10,20.45,0.90,52.00,9.94,3.35,-8.22,-0.48,1222,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.940000000000001 method = sgd min_predictions = 1000 momentum = 0.9 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.93,primeiro
USDT,XRP,neuralnet -0.96|0.2|0.6,21.66,1.21,0.37,20.45,0.83,78.26,8.22,3.9,-8.22,-8.01,1481,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.2 method = sgd min_predictions = 1000 momentum = 0.6 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.96,primeiro
USDT,XRP,neuralnet -0.98|0.04|0.3,12.21,-8.24,0.21,20.45,0.86,66.67,8.12,4.14,-8.06,-6.78,1417,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.04 method = sgd min_predictions = 1000 momentum = 0.3 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.98,primeiro
USDT,XRP,neuralnet -0.97|0.07|0.2,5.83,-14.62,0.10,20.45,0.90,72.00,6.56,2.72,-8.06,-7.5,1327,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.07 method = sgd min_predictions = 1000 momentum = 0.2 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.97,primeiro
USDT,XRP,neuralnet -0.95|0.11|0.7,15.47,-4.98,0.27,20.45,0.90,80.00,8.22,2.7,-9.46,-8.01,1159,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.11 method = sgd min_predictions = 1000 momentum = 0.7 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.95,primeiro
USDT,XRP,neuralnet -0.96|0.67|1,-99.95,-120.40,-1.72,20.45,50.64,26.63,7.35,0.27,-5.37,-0.41,28,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.67 method = sgd min_predictions = 1000 momentum = 1 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.96,primeiro
USDT,XRP,neuralnet -0.93|0.63|0.4,14.53,-5.92,0.25,20.45,0.55,73.33,9.08,3.35,-8.22,-7.57,2294,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.63 method = sgd min_predictions = 1000 momentum = 0.4 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.93,primeiro
USDT,XRP,neuralnet -0.95|0.920000000000001|0.5,3.40,-17.05,0.06,20.45,0.47,69.23,9.08,4.69,-8.22,-7.57,2997,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.920000000000001 method = sgd min_predictions = 1000 momentum = 0.5 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.95,primeiro
