currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
USDT,XRP,neuralnet 0.61|-0.92|0.5,6.43,-11.02,0.11,17.44,0.56,66.67,10.02,4.45,-8.32,-7.86,1582,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.61 method = sgd min_predictions = 1000 momentum = 0.5 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.92,primeiro
USDT,XRP,neuralnet 0.68|-0.92|0.9,19.59,2.14,0.34,17.44,0.88,54.17,9.92,3.84,-7.41,-0.52,1521,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.68 method = sgd min_predictions = 1000 momentum = 0.9 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.92,primeiro
USDT,XRP,neuralnet 0.27|-0.91|0.2,18.36,0.91,0.32,17.44,0.79,72.73,7.50,3.26,-7.81,-6.87,1697,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.27 method = sgd min_predictions = 1000 momentum = 0.2 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.91,primeiro
USDT,XRP,neuralnet 0.37|-0.92|0.5,12.70,-4.75,0.22,17.44,0.68,73.68,7.50,3.26,-8.51,-7.41,1586,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.37 method = sgd min_predictions = 1000 momentum = 0.5 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.92,primeiro
USDT,XRP,neuralnet 0.07|-0.94|0.3,16.63,-0.81,0.29,17.44,0.98,74.07,6.72,3.35,-9.15,-7.81,1261,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.07 method = sgd min_predictions = 1000 momentum = 0.3 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.94,primeiro
USDT,XRP,neuralnet 0.23|-0.97|0.3,17.53,0.08,0.31,17.44,0.75,76.19,7.50,3.26,-8.51,-7.41,1800,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.23 method = sgd min_predictions = 1000 momentum = 0.3 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.97,primeiro
USDT,XRP,neuralnet 0.910000000000001|-0.99|0.3,5.70,-11.74,0.10,17.44,0.47,61.54,14.02,4.37,-7.95,-7.86,1630,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.910000000000001 method = sgd min_predictions = 1000 momentum = 0.3 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.99,primeiro
USDT,XRP,neuralnet 0.58|-0.92|0.6,12.51,-4.93,0.22,17.44,0.56,73.33,10.02,4.6,-8.51,-8.13,1461,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.58 method = sgd min_predictions = 1000 momentum = 0.6 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.92,primeiro
USDT,XRP,neuralnet 0.22|-0.97|0.1,18.80,1.36,0.33,17.44,0.79,72.73,7.73,3.26,-8.51,-7.29,1749,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.22 method = sgd min_predictions = 1000 momentum = 0.1 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.97,primeiro
USDT,XRP,neuralnet 0.65|-0.91|1,-99.99,-117.44,-1.75,17.44,70.75,24.90,5.98,0.26,-5.92,-0.36,20,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.65 method = sgd min_predictions = 1000 momentum = 1 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.91,primeiro
USDT,XRP,neuralnet 0.21|-0.96|0.7,8.99,-8.45,0.16,17.44,0.75,71.43,7.38,2.88,-8.51,-7.29,1604,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.21 method = sgd min_predictions = 1000 momentum = 0.7 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.96,primeiro
USDT,XRP,neuralnet 0.970000000000001|-0.99|0.2,5.70,-11.74,0.10,17.44,0.47,61.54,14.02,4.37,-7.95,-7.86,1630,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.970000000000001 method = sgd min_predictions = 1000 momentum = 0.2 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.99,primeiro
